# els cl_kk n0_tt n0_ee n0_te n0_tb n0_eb n0_mv n0_mvpol
6.200000000000000000e+01 1.321838715405823524e-07 4.272061821938230743e-08 1.143419058289495170e-08 3.721523493902167281e-08 4.658821644045961680e-08 3.759873765551756233e-09 2.352018922437590896e-09 2.829467627425223059e-09
6.300000000000000000e+01 1.315028139656697513e-07 4.275550453347208687e-08 1.144958337142918115e-08 3.732111027076601529e-08 4.658962891579240465e-08 3.760051511182325607e-09 2.353270532280538774e-09 2.830509975447774757e-09
6.400000000000000000e+01 1.308156168167920263e-07 4.279080083565757098e-08 1.146522405122569295e-08 3.742921557003012120e-08 4.659121828812807079e-08 3.760236163707475711e-09 2.354542835155828763e-09 2.831569587640002435e-09
6.500000000000000000e+01 1.301243753724496958e-07 4.282651960469104316e-08 1.148111233397663534e-08 3.753957460377200716e-08 4.659298768431971626e-08 3.760427481816510497e-09 2.355835711309137522e-09 2.832646232880738056e-09
6.600000000000000000e+01 1.294289806060595058e-07 4.286264820136071385e-08 1.149724791675228999e-08 3.765221192874060708e-08 4.659494037098793260e-08 3.760625234932691942e-09 2.357148968623239798e-09 2.833739684304636740e-09
6.700000000000000000e+01 1.287293300472311594e-07 4.289919522514072060e-08 1.151363050000563086e-08 3.776715132129867677e-08 4.659707988190274498e-08 3.760829201360296741e-09 2.358482477135580443e-09 2.834849719379699307e-09
6.800000000000000000e+01 1.280275325003452568e-07 4.293614867861010285e-08 1.153025978174622139e-08 3.788441897826481844e-08 4.659940985341195958e-08 3.761039168100788656e-09 2.359836054263038627e-09 2.835976119475361158e-09
6.900000000000000000e+01 1.273190858590429421e-07 4.297351973183608302e-08 1.154713549188860830e-08 3.800404062718329608e-08 4.660193414182458426e-08 3.761254928573624903e-09 2.361209586581380392e-09 2.837118670668319636e-09
7.000000000000000000e+01 1.266105174876980555e-07 4.301129678122267166e-08 1.156425731205593854e-08 3.812604207884048361e-08 4.660465667059085809e-08 3.761476283641473734e-09 2.362602889851662466e-09 2.838277159498442354e-09
7.100000000000000000e+01 1.258995389401804465e-07 4.304949140883852909e-08 1.158162498079481699e-08 3.825045027499952279e-08 4.660758153389767634e-08 3.761703039543597145e-09 2.364015855684491660e-09 2.839451378172974849e-09
7.200000000000000000e+01 1.251882732846780658e-07 4.308808835344658299e-08 1.159923816579441904e-08 3.837729093890726917e-08 4.661071285459136019e-08 3.761935008963377091e-09 2.365448286266709696e-09 2.840641117496820617e-09
7.300000000000000000e+01 1.244744429628706539e-07 4.312709940788875689e-08 1.161709660931299665e-08 3.850659254732414711e-08 4.661405487609195476e-08 3.762172008837053651e-09 2.366900077533137009e-09 2.841846174396977149e-09
7.400000000000000000e+01 1.237601778552401651e-07 4.316651181028314399e-08 1.163519998109984996e-08 3.863838129477649579e-08 4.661761181885110828e-08 3.762413861371297814e-09 2.368371038303029711e-09 2.843066343693387509e-09
7.500000000000000000e+01 1.230454092366007361e-07 4.320633726517377704e-08 1.165354798342009719e-08 3.877268682177065779e-08 4.662138797793788436e-08 3.762660392480159404e-09 2.369861063650244325e-09 2.844301423534775514e-09
7.600000000000000000e+01 1.223300720220819180e-07 4.324656010638487195e-08 1.167214029991350200e-08 3.890953801389693271e-08 4.662538756276794558e-08 3.762911432863933111e-09 2.371369960775752394e-09 2.845551212974978415e-09
7.700000000000000000e+01 1.216141045292579489e-07 4.328719555668272043e-08 1.169097661965994515e-08 3.904896397464510393e-08 4.662961478998931228e-08 3.763166816482360102e-09 2.372897628652879643e-09 2.846815512562471900e-09
7.800000000000000000e+01 1.208996452756284518e-07 4.332822678681864080e-08 1.171005659934807429e-08 3.919099498379656254e-08 4.663407372983749448e-08 3.763426381918264208e-09 2.374443870841714584e-09 2.848094122900309452e-09
7.900000000000000000e+01 1.201866366300362808e-07 4.336966687927717212e-08 1.172937992184152608e-08 3.933566266417609708e-08 4.663876837020772429e-08 3.763689970306299943e-09 2.376008584021573705e-09 2.849386846961874849e-09
8.000000000000000000e+01 1.194728282338274009e-07 4.341150182761956254e-08 1.174894621930662801e-08 3.948299633590715010e-08 4.664370249151669051e-08 3.763957426631280305e-09 2.377591570438789144e-09 2.850693486311342992e-09
8.100000000000000000e+01 1.187603650392432216e-07 4.345374385859893135e-08 1.176875515559425051e-08 3.963302862907932345e-08 4.664887967938096091e-08 3.764228598573933909e-09 2.379192721476328848e-09 2.852013845338283807e-09
8.200000000000000000e+01 1.180491975364599001e-07 4.349637998008864088e-08 1.178880635385379728e-08 3.978579062490642723e-08 4.665430323785926860e-08 3.764503337401603150e-09 2.380811842693309689e-09 2.853347727526780319e-09
8.300000000000000000e+01 1.173414722832964921e-07 4.353941863068002443e-08 1.180909943979296959e-08 3.994131422209156987e-08 4.665997615397569515e-08 3.764781496462894599e-09 2.382448803444240079e-09 2.854694937170314671e-09
8.400000000000000000e+01 1.166327564694814688e-07 4.358285061854326770e-08 1.182963400810227200e-08 4.009963297257067158e-08 4.666590101894862398e-08 3.765062932525315250e-09 2.384103421660519173e-09 2.856055278202432122e-09
8.500000000000000000e+01 1.159273941073665244e-07 4.362668563721535524e-08 1.185040967874675235e-08 4.026078057567217998e-08 4.667207999251752435e-08 3.765347504297991646e-09 2.385775569380562407e-09 2.857428556664948724e-09
8.600000000000000000e+01 1.152253426862275118e-07 4.367091003912050008e-08 1.187142600541255810e-08 4.042479113004315113e-08 4.667851469380108842e-08 3.765635073625106209e-09 2.387465043750232230e-09 2.858814576087712092e-09
8.700000000000000000e+01 1.145243703940098617e-07 4.371553362040527786e-08 1.189268258137804262e-08 4.059169778854320778e-08 4.668520617540829133e-08 3.765925504445534813e-09 2.389171706124943276e-09 2.860213143084813260e-09
8.800000000000000000e+01 1.138266309373486677e-07 4.376054430367615200e-08 1.191417893165892922e-08 4.076153354122042147e-08 4.669215478729671124e-08 3.766218663654917052e-09 2.390895345053877509e-09 2.861624061621248545e-09
8.900000000000000000e+01 1.131298971865763756e-07 4.380595463262466914e-08 1.193591462060919773e-08 4.093433545707258915e-08 4.669936015681668455e-08 3.766514420302640877e-09 2.392635833716713111e-09 2.863047138814838812e-09
9.000000000000000000e+01 1.124363250418030110e-07 4.385174941102869063e-08 1.195788914719322449e-08 4.111013743232767052e-08 4.670682103324291491e-08 3.766812646182404060e-09 2.394392944152365101e-09 2.864482179259523849e-09
9.100000000000000000e+01 1.117458806992474313e-07 4.389793994303669132e-08 1.198010203625310758e-08 4.128897737381294684e-08 4.671439230883134576e-08 3.767113215242501421e-09 2.396166160999170347e-09 2.865928989980394678e-09
9.200000000000000000e+01 1.110585318326894450e-07 4.394451329090962864e-08 1.200255274027577280e-08 4.147089202767917711e-08 4.672220738012589029e-08 3.767416004141359322e-09 2.397955619081728386e-09 2.867387375150881416e-09
9.300000000000000000e+01 1.103764355686361915e-07 4.399148241228724016e-08 1.202524075994235689e-08 4.165591832087312654e-08 4.673013714342414782e-08 3.767720892093346728e-09 2.399760839776085116e-09 2.868857142944252233e-09
9.400000000000000000e+01 1.096951856962723058e-07 4.403883224730498777e-08 1.204816551729401022e-08 4.184409457828461076e-08 4.673830611006031420e-08 3.768027760420722065e-09 2.401581927900180517e-09 2.870338098060155223e-09
9.500000000000000000e+01 1.090169424237759874e-07 4.408657366588453151e-08 1.207132646515039694e-08 4.203546015692716032e-08 4.674663324726178868e-08 3.768336493536490886e-09 2.403418525955966745e-09 2.871830048572581580e-09
9.600000000000000000e+01 1.083438651860975000e-07 4.413469351573690375e-08 1.209472299132838223e-08 4.223005469708004337e-08 4.675520754482926084e-08 3.768646977501080749e-09 2.405270649391151341e-09 2.873332799685430354e-09
9.700000000000000000e+01 1.076737404136730492e-07 4.418320184702522522e-08 1.211835451434767956e-08 4.242791780007767366e-08 4.676399657479597545e-08 3.768959101642591999e-09 2.407138060900016827e-09 2.874846160134505471e-09
9.800000000000000000e+01 1.070065431636705318e-07 4.423208615260159763e-08 1.214222037048624827e-08 4.262909078395904217e-08 4.677305428851926956e-08 3.769272757473602271e-09 2.409020684585918009e-09 2.876369935219465786e-09
9.900000000000000000e+01 1.063422495060471059e-07 4.428135876136832926e-08 1.216631992981860107e-08 4.283361565301157172e-08 4.678238345826378472e-08 3.769587838814463551e-09 2.410918383916474385e-09 2.877903933457826812e-09
1.000000000000000000e+02 1.056830212700920898e-07 4.433100434807892823e-08 1.219065249142990577e-08 4.304153435835716009e-08 4.679202671247309612e-08 3.769904242739874734e-09 2.412831041177911304e-09 2.879447961286896608e-09
1.010000000000000000e+02 1.050288351167322879e-07 4.438103541236674079e-08 1.221521738514556535e-08 4.325288987361365304e-08 4.680172106723920073e-08 3.770221868205143069e-09 2.414757809825076124e-09 2.881001828004322922e-09
1.020000000000000000e+02 1.043753007281389786e-07 4.443143565869901515e-08 1.224001385718955547e-08 4.346772606244174805e-08 4.681148796665893508e-08 3.770540616914843749e-09 2.416698509914489294e-09 2.882565339931200315e-09
1.030000000000000000e+02 1.037289496424448995e-07 4.448221854302239096e-08 1.226504119381746603e-08 4.368608714583304992e-08 4.682132908255218358e-08 3.770860393688891997e-09 2.418652997546438211e-09 2.884138307556239687e-09
